"","fechas"
"1",2014-12-01
"2",2014-12-02
"3",2014-12-03
"4",2014-12-04
"5",2014-12-05
"6",2014-12-06
"7",2014-12-07
"8",2014-12-08
"9",2014-12-09
"10",2014-12-10
"11",2014-12-11
"12",2014-12-12
"13",2014-12-13
"14",2014-12-14
"15",2014-12-15
"16",2014-12-16
"17",2014-12-17
"18",2014-12-18
"19",2014-12-19
"20",2014-12-20
"21",2014-12-21
"22",2014-12-22
"23",2014-12-23
"24",2014-12-24
"25",2014-12-25
"26",2014-12-26
"27",2014-12-27
"28",2014-12-28
"29",2014-12-29
"30",2014-12-30
"31",2014-12-31
"32",2015-12-01
"33",2015-12-02
"34",2015-12-03
"35",2015-12-04
"36",2015-12-05
"37",2015-12-06
"38",2015-12-07
"39",2015-12-08
"40",2015-12-09
"41",2015-12-10
"42",2015-12-11
"43",2015-12-12
"44",2015-12-13
"45",2015-12-14
"46",2015-12-15
"47",2015-12-16
"48",2015-12-17
"49",2015-12-18
"50",2015-12-19
"51",2015-12-20
"52",2015-12-21
"53",2015-12-22
"54",2015-12-23
"55",2015-12-24
"56",2015-12-25
"57",2015-12-26
"58",2015-12-27
"59",2015-12-28
"60",2015-12-29
"61",2015-12-30
"62",2015-12-31
"63",2016-12-01
"64",2016-12-02
"65",2016-12-03
"66",2016-12-04
"67",2016-12-05
"68",2016-12-06
"69",2016-12-07
"70",2016-12-08
"71",2016-12-09
"72",2016-12-10
"73",2016-12-11
"74",2016-12-12
"75",2016-12-13
"76",2016-12-14
"77",2016-12-15
"78",2016-12-16
"79",2016-12-17
"80",2016-12-18
"81",2016-12-19
"82",2016-12-20
"83",2016-12-21
"84",2016-12-22
"85",2016-12-23
"86",2016-12-24
"87",2016-12-25
"88",2016-12-26
"89",2016-12-27
"90",2016-12-28
"91",2016-12-29
"92",2016-12-30
"93",2016-12-31
"94",2017-12-01
"95",2017-12-02
"96",2017-12-03
"97",2017-12-04
"98",2017-12-05
"99",2017-12-06
"100",2017-12-07
"101",2017-12-08
"102",2017-12-09
"103",2017-12-10
"104",2017-12-11
"105",2017-12-12
"106",2017-12-13
"107",2017-12-14
"108",2017-12-15
"109",2017-12-16
"110",2017-12-17
"111",2017-12-18
"112",2017-12-19
"113",2017-12-20
"114",2017-12-21
"115",2017-12-22
"116",2017-12-23
"117",2017-12-24
"118",2017-12-25
"119",2017-12-26
"120",2017-12-27
"121",2017-12-28
"122",2017-12-29
"123",2017-12-30
"124",2017-12-31
"125",2018-12-01
"126",2018-12-02
"127",2018-12-03
"128",2018-12-04
"129",2018-12-05
"130",2018-12-06
"131",2018-12-07
"132",2018-12-08
"133",2018-12-09
"134",2018-12-10
"135",2018-12-11
"136",2018-12-12
"137",2018-12-13
"138",2018-12-14
"139",2018-12-15
"140",2018-12-16
"141",2018-12-17
"142",2018-12-18
"143",2018-12-19
"144",2018-12-20
"145",2018-12-21
"146",2018-12-22
"147",2018-12-23
"148",2018-12-24
"149",2018-12-25
"150",2018-12-26
"151",2018-12-27
"152",2018-12-28
"153",2018-12-29
"154",2018-12-30
"155",2018-12-31
