Fechas;Nacional;Medellin
26 de enero de 2014;1;0
1 de marzo de 2014;1;0
6 de julio de 2014;0;1
19 de julio de 2014;0;1
13 de agosto de 2014;1;0
13 de septiembre de 2014;1;0
7 de febrero de 2015;1;0
15 de marzo de 2015;1;0
18 de julio de 2015;0;0
5 de septiembre de 2015;0;1
10 de diciembre de 2015;0;1
13 de diciembre de 2015;1;1
20 de marzo de 2016;0;0
7 de mayo de 2016;0;1
28 de agosto de 2016;1;1
22 de octubre de 2016;0;1
18 de marzo de 2017;1;1
28 de mayo de 2017;0;1
26 de agosto de 2017;0;1
18 de noviembre de 2017;0;0
8 de abril de 2018;1;1
6 de octubre de 2018;0;1
