"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"1",1,"Enero","martes, 02 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44  57","Candelaria","Comuna10LaCandelaria",487,216,271,"NIÑO (6 a 13 años)",68,109,27,162,1,11,28,14,6,68,141,43,190,6,34,41,0,0,0,4,14,10
"2",2,"Enero","miércoles, 03 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 78 64C","Córdoba","Comuna5Castilla",422,151,271,"12",32,66,51,125,3,1,2,20,"19",74,130,63,177,3,77,14,0,0,0,2,11,5
"3",3,"Enero","miércoles, 03 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 78  64C","Cordoba","Comuna5Castilla",439,103,336,"2",28,67,6,45,0,34,8,16,"4",68,182,80,220,9,42,20,45,0,0,2,9,5
"4",4,"Enero","jueves, 04 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44  57","Candelaria","Comuna10LaCandelaria",499,188,311,"2",58,96,33,179,0,6,2,1,"6",92,167,48,261,10,14,22,4,0,0,2,11,10
"5",5,"Enero","jueves, 04 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44  57","Candelaria","Comuna10LaCandelaria",135,40,95,"1",9,23,8,30,0,2,7,1,"4",21,64,10,30,0,19,40,6,0,0,2,7,10
"6",6,"Enero","viernes, 05 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 78  64C","Caribe","Comuna5Castilla",495,183,312,"0",59,94,22,52,0,34,53,44,"0",95,174,31,44,1,109,132,26,0,0,2,12,5
"7",7,"Enero","viernes, 05 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 78  64C","Caribe","Comuna5Castilla",396,93,303,"8",36,43,7,45,0,4,11,33,"12",63,174,65,111,4,51,102,35,0,0,2,7,5
"8",8,"Enero","sábado, 06 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CR 36 10A-10B-10C ","Poblado ","Comuna14ElPoblado",47,21,26,"7",9,9,3,18,0,0,2,1,"1",6,19,1,21,0,0,5,0,0,0,2,12,14
"9",9,"Enero","sábado, 06 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44  57","Candelaria","Comuna10LaCandelaria",212,104,108,"0",31,46,14,104,0,0,0,0,"0",32,48,11,89,10,3,3,3,0,0,2,7,10
"10",10,"Enero","martes, 02 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",845,422,423,"13",231,150,41,422,0,0,0,0,"17",231,151,41,423,0,0,0,0,0,0,1,8,5
"11",11,"Enero","miércoles, 03 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",183,85,98,"0",32,50,3,1,0,41,43,0,"0",31,60,7,0,0,71,27,0,0,0,1,6,5
"12",12,"Enero","jueves, 04 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",239,92,147,"0",53,34,5,12,0,46,32,2,"0",67,66,14,29,0,68,46,4,0,0,1,6,5
"13",13,"Enero","viernes, 05 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",170,70,100,"0",20,45,0,5,0,39,26,0,"0",61,39,0,0,0,36,64,0,0,0,1,6,5
