"","fechas"
"1",2014-08-01
"2",2014-08-02
"3",2014-08-03
"4",2014-08-04
"5",2014-08-05
"6",2014-08-06
"7",2014-08-07
"8",2014-08-08
"9",2014-08-09
"10",2014-08-10
"11",2015-07-31
"12",2015-08-01
"13",2015-08-02
"14",2015-08-03
"15",2015-08-04
"16",2015-08-05
"17",2015-08-06
"18",2015-08-07
"19",2015-08-08
"20",2015-08-09
"21",2016-07-29
"22",2016-07-30
"23",2016-07-31
"24",2016-08-01
"25",2016-08-02
"26",2016-08-03
"27",2016-08-04
"28",2016-08-05
"29",2016-08-06
"30",2016-08-07
"31",2017-07-28
"32",2017-07-29
"33",2017-07-30
"34",2017-07-31
"35",2017-08-01
"36",2017-08-02
"37",2017-08-03
"38",2017-08-04
"39",2017-08-05
"40",2017-08-06
"41",2018-08-03
"42",2018-08-04
"43",2018-08-05
"44",2018-08-06
"45",2018-08-07
"46",2018-08-08
"47",2018-08-09
"48",2018-08-10
"49",2018-08-11
"50",2018-08-12
